"Problèmes Techniques"
Référence;Bloquant;"Date de correction";"Date de signalement";Intervenant;Module(s);Equipement;Description;Solution;"Fichier(s) joint(s)"
12;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";114;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 114 (VAP 1,25T 16B GN/FOD)";;
14;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";101;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 101 (EC 3700 KW GN/FOD)";;
15;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";101;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 101 (EC 3700 KW GN/FOD)";;
16;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";101;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 101 (EC 3700 KW GN/FOD)";;
17;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";121;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 121 (VAP 6T 28b GN/FOD)";;
18;X;;31/08/2017;"DESURMONTJU (Julien Desurmont)";121;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 121 (VAP 6T 28b GN/FOD)";;
19;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";121;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 121 (VAP 6T 28b GN/FOD)";;
20;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";102;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 102 (EC 3700 KW GN/FOD)";;
21;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";102;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 102 (EC 3700 KW GN/FOD)";;
22;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";102;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 102 (EC 3700 KW GN/FOD)";;
27;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";104;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 104 (EC 3700 KW GN/FOD)";;
28;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";104;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 104 (EC 3700 KW GN/FOD)";;
31;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";107;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 107 (VAP 3T2 16b GN/FOD)";;
32;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";107;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 107 (VAP 3T2 16b GN/FOD)";;
33;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";109;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 109 (VAP 6T 20b GN/FOD)";;
34;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";109;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 109 (VAP 6T 20b GN/FOD)";;
35;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";109;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 109 (VAP 6T 20b GN/FOD)";;
42;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";118;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 118 (VAP 3T2 16b GN/FOD)";;
43;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";118;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 118 (VAP 3T2 16b GN/FOD)";;
44;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";118;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 118 (VAP 3T2 16b GN/FOD)";;
