"Problèmes Techniques"
Référence;Bloquant;"Date de correction";"Date de signalement";Opérateur;Module(s);Equipement;Description;Solution;"Fichier(s) joint(s)"
256;X;;31/01/2018;"BAZELISAL (Alexandre Bazelis)";545;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 545 (Cuves FOD 3x1m3 dans 10')";;
257;X;;31/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";546;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 546 (DETENDEUR VAPEUR DN80)";;
258;X;;31/01/2018;"0_TECHNICIENS (Groupe Techniciens)";546;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 546 (DETENDEUR VAPEUR DN80)";;
259;X;;31/01/2018;"BAZELISAL (Alexandre Bazelis)";546;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 546 (DETENDEUR VAPEUR DN80)";;
260;X;;31/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";557;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 557 (MODULE ADOUCISSEUR 3,2M3/H)";;
261;X;06/12/2017;31/01/2018;"VERMERSCHED (Edwin Vermersch)";557;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 557 (MODULE ADOUCISSEUR 3,2M3/H)";;
262;X;31/01/2018;31/01/2018;"BAZELISAL (Alexandre Bazelis)";557;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 557 (MODULE ADOUCISSEUR 3,2M3/H)";;
263;X;31/01/2018;31/01/2018;"BAZELISAL (Alexandre Bazelis)";557;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 557 (MODULE ADOUCISSEUR 3,2M3/H)";;
264;X;06/12/2017;31/01/2018;"VERMERSCHED (Edwin Vermersch)";557;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 557 (MODULE ADOUCISSEUR 3,2M3/H)";;X
265;X;;31/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";570;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 570 (SKID POMPE ECC KSB)";;
266;X;;31/01/2018;"0_TECHNICIENS (Groupe Techniciens)";570;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 570 (SKID POMPE ECC KSB)";;
267;X;;31/01/2018;"BAZELISAL (Alexandre Bazelis)";570;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 570 (SKID POMPE ECC KSB)";;
268;X;;31/01/2018;"0_TECHNICIENS (Groupe Techniciens)";570;POMPE;"pompe neuve, n'a jamais démarré sur l776
mise en service par ksb a faire";;
269;X;;31/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";571;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 571 (BALLON DETENTE PURGES SPE ES)";;
270;X;;31/01/2018;"0_TECHNICIENS (Groupe Techniciens)";571;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 571 (BALLON DETENTE PURGES SPE ES)";;
271;X;;31/01/2018;"BAZELISAL (Alexandre Bazelis)";571;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 571 (BALLON DETENTE PURGES SPE ES)";;
224;X;;31/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";562;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 562 (BALLON DETENTE PURGES SPE ES)";;
225;X;;31/01/2018;"0_TECHNICIENS (Groupe Techniciens)";562;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 562 (BALLON DETENTE PURGES SPE ES)";;
226;X;;31/01/2018;"BAZELISAL (Alexandre Bazelis)";562;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 562 (BALLON DETENTE PURGES SPE ES)";;
227;X;;31/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";599;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 599 (BALLON DETENTE PURGES SPE ES)";;
228;X;;31/01/2018;"0_TECHNICIENS (Groupe Techniciens)";599;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 599 (BALLON DETENTE PURGES SPE ES)";;
229;X;;31/01/2018;"BAZELISAL (Alexandre Bazelis)";599;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 599 (BALLON DETENTE PURGES SPE ES)";;
230;X;;31/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";600;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 600 (BALLON DETENTE PURGES SPE ES)";;
231;X;;31/01/2018;"0_TECHNICIENS (Groupe Techniciens)";600;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 600 (BALLON DETENTE PURGES SPE ES)";;
232;X;;31/01/2018;"BAZELISAL (Alexandre Bazelis)";600;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 600 (BALLON DETENTE PURGES SPE ES)";;
